code,code_type,store_keeper_code,batch_id,product_id,product_batch_number,manufacturing_date,expiry_date,warranty_months,published_at,international_code,qr_code_data,barcode_data
U-FXTRVYLQQE,unit,SK-WA4DPKK9BK,madi,,,,,,"2026-04-11 20:19:35+00",,,
U-YDWJMECEDH,unit,SK-CSJJF54SS6,madi,,,,,,"2026-04-11 20:19:35+00",,,
